"","study.area","station","station.season","utm_x","utm_y","dst.waterbodies","dst_rivers","dst_streams","dst_settlement","dst_roads","roads1000m","roads500m","roads200m","dst.water","dst.human","rabbit.ts","lynx.ts","rodent.ts","TC1000","nTC1000","nV1000","EVI1000","sdEVI1000","TC500","nTC500","nV500","EVI500","sdEVI500","TC200","nTC200","nV200","EVI200","sdEVI200","rbbt.ha","rbbt.se","n.sites","rdt.ha","rdt.se","As.ha","As.se"
"1","CNP","C03","C03a",-4.51285,39.38952,6.77916494,7.788258091,0.342711995,11.71501666,0.040751221,2290.373,957.711,365.558,0.342711995,0.040751221,0,0,19.3548387096774,29.2222222222222,60.2888888888889,10.4888888888889,28145555.5555556,2611002.86300442,32.1666666666667,58.3333333333333,9.5,27873333.3333333,2297502.60699888,28,62.5,9.5,26790000,2029419.21768547,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
"2","CNP","C06","C06a",-4.49852,39.3778,7.481252333,9.086142832,0.038065975,13.22370701,0.781764374,789.233,0,0,0.038065975,0.781764374,0,0,67.741935483871,34.4772727272727,55.3863636363636,10.1363636363636,27707500,1848148.89093388,35.7272727272727,55.2727272727273,9,28046363.6363636,1797474.467916,36,55,9,26820000,2673143.95630148,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
"3","CNP","C08","C08a",-4.48627,39.37147,8.019162821,8.610276924,0.246176728,12.46623364,1.816065338,0,0,0,0.246176728,1.816065338,0,0,0,34.74,54.26,11,28016000,2189694.34726503,40.1666666666667,50.5,9.33333333333333,29678333.3333333,2301182.89328192,39.5,51.5,9,28780000,2170144.00443842,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
"4","CNP","C13","C13a",-4.47443,39.36192,8.415746648,8.725755108,0.187286629,11.37053079,3.250681052,0,0,0,0.187286629,3.250681052,8.33333333333333,0,45.8333333333333,26.469387755102,61.4081632653061,12.1224489795918,24842244.8979592,2230466.56227511,23,62.8181818181818,14.1818181818182,24421818.1818182,2098149.62315338,25.5,61.5,13,25340000,1682872.25533544,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
"5","CNP","C15","C15a",-4.45353,39.36228,7.547471363,7.810809093,1.211208975,11.71457511,5.518802642,0,0,0,1.211208975,5.518802642,0,0,12.9032258064516,21.8,60.9111111111111,17.2888888888889,23673111.1111111,2395747.09889537,21.5,59.9,18.6,24014000,2397326.95470972,22,60,18,24390000,2294450.88444079,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
"6","CNP","C16","C16a",-4.35902,39.3612,8.685010538,7.469603205,6.264662621,11.54392287,7.481841223,0,0,0,6.264662621,7.481841223,19.3548387096774,0,0,34.2244897959184,56.7755102040816,9,28086122.4489796,1888429.95414247,33.25,57.8333333333333,8.91666666666667,27805000,2486423.48673778,40,52,8,30090000,3985254.41819939,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
"7","CNP","C17","C17a",-4.53002,39.35338,6.355200507,9.75007293,0.256463542,11.94077131,0.092903891,1628.505,801.503,289.608,0.256463542,0.092903891,0,0,3.2258064516129,23.5918367346939,59.6326530612245,16.7755102040816,23242857.1428571,1455536.02325686,24.0833333333333,59.0833333333333,16.8333333333333,22909166.6666667,1726464.44368502,25,60,15,21930000,2144608.2263305,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
"8","CNP","C19","C19a",-4.51028,39.34958,5.751296153,11.49748368,0.595182365,10.63512826,1.302334143,0,0,0,0.595182365,1.302334143,0,0,10.3448275862069,21.7234042553191,60.3404255319149,17.936170212766,20117021.2765957,1707474.1445563,23.3846153846154,59.2307692307692,17.3846153846154,21309230.7692308,2234505.55800548,26.3333333333333,56.6666666666667,17,22136666.6666667,3127213.43833274,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
"9","CNP","C21","C21a",-4.48275,39.35287,7.072647667,10.06305468,1.431702589,10.37389865,2.885970173,0,0,0,1.431702589,2.885970173,0,0,6.45161290322581,28.48,59.4,12.12,26130400,2135740.07079513,28.9230769230769,60.5384615384615,10.5384615384615,27103076.9230769,2057038.89697512,24,67,9,24960000,2624494.1311507,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
"10","CNP","C23","C23a",-4.46278,39.35382,7.932938491,9.012805308,0.155962866,10.59189603,4.772683076,0,0,0,0.155962866,4.772683076,3.2258064516129,0,12.9032258064516,18.6170212765957,63.468085106383,17.9148936170213,22513617.0212766,2364443.94227887,22.4545454545455,60.6363636363636,16.9090909090909,25149090.9090909,2148316.51902881,25.5,59.5,15,27665000,2404512.82892075,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
"11","CNP","C25","C25a",-4.43448,39.35507,6.374648516,8.365796846,1.979390268,11.63640192,6.688528648,0,0,0,1.979390268,6.688528648,0,0,0,17.75,62.8541666666667,19.3958333333333,24090208.3333333,2162317.01763213,11.9230769230769,67.0769230769231,21,21673846.1538462,2329913.82641661,8.5,64,27.5,18865000,2547449.70509724,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
"12","CNP","C27","C27a",-4.4176,39.35067,5.374735593,9.086553294,3.226088056,11.66572352,5.896472284,0,0,0,3.226088056,5.896472284,0,0,3.33333333333333,16.44,66.4,17.16,21605000,2369140.54270976,17.4166666666667,63.1666666666667,19.4166666666667,23590833.3333333,2837226.33898163,19,60,21,26030000,2538088.32807511,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
"13","CNP","C28","C28a",-4.36503,39.34872,7.214291305,8.837565889,5.975971143,10.11212709,7.072265958,0,0,0,5.975971143,7.072265958,20,0,0,24.5,59.5217391304348,15.9782608695652,26283478.2608696,1935704.27824734,22.0833333333333,61.4166666666667,16.5,25411666.6666667,2253968.88038291,19,63,18,24080000,2753879.58665185,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
"14","CNP","C30","C30a",-4.52023,39.34577,5.328390891,11.12776516,0.056127944,10.68218948,1.199460091,0,0,0,0.056127944,1.199460091,31.25,0,0,21.1363636363636,61.5454545454545,17.3181818181818,22755909.0909091,1776076.14471353,24.5,61.75,13.75,24827500,1833286.22624665,24.3333333333333,61,14.6666666666667,25950000,1640178.4945021,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
"15","CNP","C32","C32a",-4.49622,39.34308,5.422937448,11.79379736,0.507190362,9.498063707,2.776915347,0,0,0,0.507190362,2.776915347,39.3939393939394,0,106.060606060606,28.4042553191489,58.7446808510638,12.8510638297872,28250425.5319149,1341704.37747568,26.6923076923077,61.7692307692308,11.5384615384615,26794615.3846154,1907896.4686039,25.5,64,10.5,25245000,2336682.7151137,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
"16","CNP","C34","C34a",-4.47455,39.34522,6.910676283,10.39108216,0.964239376,9.511961936,4.128909793,0,0,0,0.964239376,4.128909793,0,0,3.44827586206897,16.9090909090909,64.1590909090909,18.9318181818182,22305000,2077383.48385744,18.0833333333333,63.0833333333333,18.8333333333333,21571666.6666667,2425400.45376245,14,63.5,22.5,20700000,3310132.17258767,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
"17","CNP","C36","C36a",-4.45093,39.34437,6.273640218,9.699877316,0.169208294,9.867010023,6.40845248,0,0,0,0.169208294,6.40845248,0,0,10.3448275862069,11.304347826087,66.5869565217391,22.1086956521739,19559130.4347826,1960633.14629,11.9090909090909,66.3636363636364,21.7272727272727,19745454.5454545,2089502.36495432,11.5,70,18.5,21860000,2216945.31456637,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
