"","study.area","station.season","station","season","utm_x","utm_y","dst.waterbodies","dst_rivers","dst_streams","dst_settlement","dst_roads","roads500m","dst.water","dst.human","rabbit.ts","lynx.ts","rodent.ts","TC500nb","nTC500nb","nV500nb","EVI500nb","TC500b","nTC500b","nV500b","EVI500b","rbbt.ha.nb","rbbt.se.nb","rbbt.ha.b","rbbt.se.b","rdt.ha.nb","rdt.se.nb","rdt.ha.b","rdt.se.b"
"1","CNP","C03a","C03","nonbreeding",-4.51285,39.38952,6.77916494,7.788258091,0.342711995,11.71501666,0.040751221,957.711,0.342711995,0.040751221,0,0,19.3548387096774,32.1666666666667,58.3333333333333,9.5,30408333.3333333,42.6666666666667,54.5,2.83333333333333,29046666.6666667,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"2","CNP","C03w","C03","breeding",-4.51285,39.38952,6.77916494,7.788258091,0.342711995,11.71501666,0.040751221,957.711,0.342711995,0.040751221,0,0,3.57142857142857,32.1666666666667,58.3333333333333,9.5,30408333.3333333,42.6666666666667,54.5,2.83333333333333,29046666.6666667,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"3","CNP","C06a","C06","nonbreeding",-4.49852,39.3778,7.481252333,9.086142832,0.038065975,13.22370701,0.781764374,0,0.038065975,0.781764374,0,0,67.741935483871,35.7272727272727,55.2727272727273,9,31973636.3636364,46,51.3636363636364,2.63636363636364,30620000,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"4","CNP","C06w","C06","breeding",-4.49852,39.3778,7.481252333,9.086142832,0.038065975,13.22370701,0.781764374,0,0.038065975,0.781764374,0,0,10.7142857142857,35.7272727272727,55.2727272727273,9,31973636.3636364,46,51.3636363636364,2.63636363636364,30620000,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"5","CNP","C08a","C08","nonbreeding",-4.48627,39.37147,8.019162821,8.610276924,0.246176728,12.46623364,1.816065338,0,0.246176728,1.816065338,0,0,0,40.1666666666667,50.5,9.33333333333333,33105833.3333333,45.75,51.25,3,30673333.3333333,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"6","CNP","C08w","C08","breeding",-4.48627,39.37147,8.019162821,8.610276924,0.246176728,12.46623364,1.816065338,0,0.246176728,1.816065338,0,0,0,40.1666666666667,50.5,9.33333333333333,33105833.3333333,45.75,51.25,3,30673333.3333333,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"7","CNP","C13a","C13","nonbreeding",-4.47443,39.36192,8.415746648,8.725755108,0.187286629,11.37053079,3.250681052,0,0.187286629,3.250681052,8.33333333333333,0,45.8333333333333,23,62.8181818181818,14.1818181818182,28441818.1818182,34.2727272727273,61.7272727272727,4,28769090.9090909,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"8","CNP","C13w","C13","breeding",-4.47443,39.36192,8.415746648,8.725755108,0.187286629,11.37053079,3.250681052,0,0.187286629,3.250681052,10.7142857142857,0,14.2857142857143,23,62.8181818181818,14.1818181818182,28441818.1818182,34.2727272727273,61.7272727272727,4,28769090.9090909,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"9","CNP","C15a","C15","nonbreeding",-4.45353,39.36228,7.547471363,7.810809093,1.211208975,11.71457511,5.518802642,0,1.211208975,5.518802642,0,0,12.9032258064516,21.5,59.9,18.6,28247000,34.2,60.9,4.9,29447000,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"10","CNP","C15w","C15","breeding",-4.45353,39.36228,7.547471363,7.810809093,1.211208975,11.71457511,5.518802642,0,1.211208975,5.518802642,0,0,28.5714285714286,21.5,59.9,18.6,28247000,34.2,60.9,4.9,29447000,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"11","CNP","C16a","C16","nonbreeding",-4.35902,39.3612,8.685010538,7.469603205,6.264662621,11.54392287,7.481841223,0,6.264662621,7.481841223,19.3548387096774,0,0,33.25,57.8333333333333,8.91666666666667,32145833.3333333,41.5833333333333,54.5,3.91666666666667,29869166.6666667,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"12","CNP","C16w","C16","breeding",-4.35902,39.3612,8.685010538,7.469603205,6.264662621,11.54392287,7.481841223,0,6.264662621,7.481841223,0,0,3.57142857142857,33.25,57.8333333333333,8.91666666666667,32145833.3333333,41.5833333333333,54.5,3.91666666666667,29869166.6666667,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"13","CNP","C17a","C17","nonbreeding",-4.53002,39.35338,6.355200507,9.75007293,0.256463542,11.94077131,0.092903891,801.503,0.256463542,0.092903891,0,0,3.2258064516129,24.0833333333333,59.0833333333333,16.8333333333333,24659166.6666667,32.25,62.9166666666667,4.83333333333333,25126666.6666667,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"14","CNP","C17w","C17","breeding",-4.53002,39.35338,6.355200507,9.75007293,0.256463542,11.94077131,0.092903891,801.503,0.256463542,0.092903891,0,0,17.2413793103448,24.0833333333333,59.0833333333333,16.8333333333333,24659166.6666667,32.25,62.9166666666667,4.83333333333333,25126666.6666667,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"15","CNP","C19a","C19","nonbreeding",-4.51028,39.34958,5.751296153,11.49748368,0.595182365,10.63512826,1.302334143,0,0.595182365,1.302334143,0,0,10.3448275862069,23.3846153846154,59.2307692307692,17.3846153846154,25049230.7692308,29.1538461538462,65,5.84615384615385,26140000,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"16","CNP","C19w","C19","breeding",-4.51028,39.34958,5.751296153,11.49748368,0.595182365,10.63512826,1.302334143,0,0.595182365,1.302334143,0,0,0,23.3846153846154,59.2307692307692,17.3846153846154,25049230.7692308,29.1538461538462,65,5.84615384615385,26140000,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"17","CNP","C21a","C21","nonbreeding",-4.48275,39.35287,7.072647667,10.06305468,1.431702589,10.37389865,2.885970173,0,1.431702589,2.885970173,0,0,6.45161290322581,28.9230769230769,60.5384615384615,10.5384615384615,29873846.1538462,39.0769230769231,58.0769230769231,2.84615384615385,31317692.3076923,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"18","CNP","C21w","C21","breeding",-4.48275,39.35287,7.072647667,10.06305468,1.431702589,10.37389865,2.885970173,0,1.431702589,2.885970173,0,0,0,28.9230769230769,60.5384615384615,10.5384615384615,29873846.1538462,39.0769230769231,58.0769230769231,2.84615384615385,31317692.3076923,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"19","CNP","C23a","C23","nonbreeding",-4.46278,39.35382,7.932938491,9.012805308,0.155962866,10.59189603,4.772683076,0,0.155962866,4.772683076,3.2258064516129,0,12.9032258064516,22.4545454545455,60.6363636363636,16.9090909090909,28521818.1818182,31.6363636363636,63,5.36363636363636,2.9e+07,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"20","CNP","C23w","C23","breeding",-4.46278,39.35382,7.932938491,9.012805308,0.155962866,10.59189603,4.772683076,0,0.155962866,4.772683076,3.57142857142857,0,3.57142857142857,22.4545454545455,60.6363636363636,16.9090909090909,28521818.1818182,31.6363636363636,63,5.36363636363636,2.9e+07,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"21","CNP","C25a","C25","nonbreeding",-4.43448,39.35507,6.374648516,8.365796846,1.979390268,11.63640192,6.688528648,0,1.979390268,6.688528648,0,0,0,11.9230769230769,67.0769230769231,21,26555384.6153846,17.3846153846154,71.1538461538462,11.4615384615385,27590000,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"22","CNP","C25w","C25","breeding",-4.43448,39.35507,6.374648516,8.365796846,1.979390268,11.63640192,6.688528648,0,1.979390268,6.688528648,0,0,3.57142857142857,11.9230769230769,67.0769230769231,21,26555384.6153846,17.3846153846154,71.1538461538462,11.4615384615385,27590000,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
