station,study.area,utm_x,utm_y,field_1,LC2012,LC2011,LC2013,LC2009,LC2010,%LC2012,%LC2011,%LC2009,%LC2013,%LC2010
Pb.19,Puerto Bajo,-3.99618,38.24319,0,8.00000,8.00000,8.00000,9.00000,8.00000,47.00000,69.00000,60.00000,71.00000,69.00000
Pb.20,Puerto Bajo,-4.00938,38.24948,0,8.00000,8.00000,8.00000,9.00000,9.00000,46.00000,68.00000,68.00000,65.00000,65.00000
Pb.21,Puerto Bajo,-4.00299,38.26099,0,7.00000,9.00000,9.00000,9.00000,7.00000,76.00000,35.00000,40.00000,36.00000,76.00000
Pb.22,Puerto Bajo,-3.99827,38.25603,0,9.00000,9.00000,9.00000,9.00000,9.00000,55.00000,55.00000,45.00000,58.00000,45.00000
Pb.23,Puerto Bajo,-3.99467,38.25921,0,7.00000,7.00000,9.00000,7.00000,7.00000,45.00000,45.00000,45.00000,47.00000,45.00000
Pb.24,Puerto Bajo,-3.99811,38.26601,0,9.00000,7.00000,9.00000,7.00000,9.00000,57.00000,64.00000,64.00000,57.00000,35.00000
Valdelagrana,Valdelagrana,-4.18213,38.25851,0,8.00000,9.00000,9.00000,8.00000,9.00000,54.00000,43.00000,58.00000,45.00000,49.00000
Vbeltran.01,V. Beltran,-3.98462,38.11730,0,8.00000,8.00000,8.00000,8.00000,8.00000,61.00000,42.00000,80.00000,52.00000,42.00000
Vgr.01,Valdelagrana,-4.18213,38.25851,0,8.00000,9.00000,9.00000,8.00000,9.00000,54.00000,43.00000,58.00000,45.00000,49.00000
Vgr.02,Valdelagrana,-4.19318,38.25514,0,9.00000,9.00000,9.00000,9.00000,9.00000,64.00000,64.00000,40.00000,64.00000,69.00000
Vgr.03,Valdelagrana,-4.20621,38.25423,0,8.00000,9.00000,9.00000,8.00000,8.00000,51.00000,66.00000,61.00000,66.00000,60.00000
Vgr.03c,Valdelagrana,-4.20835,38.25363,0,9.00000,9.00000,9.00000,7.00000,9.00000,53.00000,53.00000,43.00000,53.00000,66.00000
Vgr.05,Valdelagrana,-4.19376,38.27076,0,9.00000,9.00000,9.00000,9.00000,9.00000,91.00000,91.00000,47.00000,91.00000,47.00000
Vgr.06,Valdelagrana,-4.20915,38.27080,0,9.00000,9.00000,9.00000,9.00000,9.00000,63.00000,63.00000,70.00000,63.00000,90.00000
Vgr.08,Valdelagrana,-4.21196,38.28279,0,8.00000,8.00000,9.00000,9.00000,9.00000,52.00000,52.00000,49.00000,43.00000,49.00000
Vgr.09,Valdelagrana,-4.19417,38.28384,0,8.00000,8.00000,8.00000,7.00000,8.00000,60.00000,60.00000,40.00000,58.00000,60.00000
Vgr.16,Valdelagrana,-4.15410,38.26745,0,9.00000,7.00000,7.00000,9.00000,7.00000,49.00000,57.00000,58.00000,75.00000,57.00000
Vgr.6c,Valdelagrana,-4.20270,38.27645,0,8.00000,9.00000,9.00000,8.00000,8.00000,63.00000,73.00000,62.00000,73.00000,38.00000
Vir.05,La Virgen,-3.99614,38.19849,0,8.00000,8.00000,8.00000,8.00000,8.00000,60.00000,50.00000,48.00000,58.00000,49.00000
Vir.06,La Virgen,-3.95062,38.10884,0,8.00000,8.00000,8.00000,8.00000,8.00000,73.00000,54.00000,59.00000,51.00000,54.00000
Vir.07,La Virgen,-4.00429,38.22894,0,8.00000,8.00000,8.00000,8.00000,8.00000,79.00000,60.00000,56.00000,70.00000,56.00000
Vir.07c,La Virgen,-4.00139,38.21565,0,9.00000,9.00000,9.00000,7.00000,9.00000,43.00000,53.00000,45.00000,46.00000,44.00000
Vir.09,La Virgen,-3.98879,38.22472,0,8.00000,8.00000,8.00000,8.00000,8.00000,58.00000,46.00000,68.00000,39.00000,47.00000
Vir.10b,La Virgen,-4.05743,38.19294,0,9.00000,9.00000,9.00000,9.00000,7.00000,59.00000,59.00000,42.00000,59.00000,44.00000
Vir.11,La Virgen,-4.04986,38.21085,0,7.00000,7.00000,7.00000,7.00000,7.00000,54.00000,54.00000,56.00000,54.00000,56.00000
Vir.12,La Virgen,-4.05493,38.21312,0,9.00000,7.00000,9.00000,9.00000,7.00000,54.00000,53.00000,43.00000,54.00000,53.00000
Vir.13,La Virgen,-4.02244,38.20001,0,9.00000,8.00000,9.00000,9.00000,7.00000,49.00000,47.00000,46.00000,48.00000,44.00000
Vir.14b,La Virgen,-4.00737,38.17814,0,8.00000,8.00000,8.00000,8.00000,9.00000,65.00000,49.00000,43.00000,65.00000,50.00000
Vir.15,La Virgen,-3.97654,38.06871,0,14.00000,7.00000,12.00000,7.00000,7.00000,28.00000,41.00000,41.00000,55.00000,41.00000
Vir.16,La Virgen,-3.99128,38.21955,0,8.00000,8.00000,8.00000,9.00000,9.00000,46.00000,46.00000,64.00000,46.00000,64.00000
Vir.20,La Virgen,-4.06029,38.20330,0,9.00000,7.00000,9.00000,7.00000,7.00000,45.00000,46.00000,45.00000,45.00000,45.00000
Vir.22,La Virgen,-3.99430,38.18875,0,9.00000,9.00000,9.00000,8.00000,9.00000,47.00000,55.00000,48.00000,47.00000,55.00000
Vir.22b,La Virgen,-3.99275,38.19129,0,9.00000,9.00000,9.00000,8.00000,8.00000,55.00000,55.00000,42.00000,55.00000,42.00000
Vir.22d,La Virgen,-3.99220,38.18709,0,8.00000,8.00000,8.00000,9.00000,7.00000,41.00000,41.00000,31.00000,39.00000,38.00000
Vir.23,La Virgen,-4.04398,38.19457,0,9.00000,9.00000,9.00000,9.00000,9.00000,63.00000,41.00000,57.00000,63.00000,36.00000
Vir.23b,La Virgen,-4.05810,38.22501,0,8.00000,8.00000,9.00000,7.00000,8.00000,68.00000,68.00000,58.00000,62.00000,68.00000
Vir.24b,La Virgen,-4.05745,38.22412,0,10.00000,7.00000,7.00000,7.00000,7.00000,33.00000,39.00000,51.00000,39.00000,67.00000
Vir.26,La Virgen,-4.00871,38.19090,0,9.00000,9.00000,9.00000,9.00000,9.00000,59.00000,59.00000,61.00000,59.00000,61.00000
Vir.27,La Virgen,-4.00292,38.19552,0,9.00000,9.00000,9.00000,9.00000,9.00000,44.00000,41.00000,71.00000,44.00000,41.00000
Vir.2b,La Virgen,-4.00121,38.18444,0,9.00000,9.00000,8.00000,9.00000,9.00000,32.00000,55.00000,61.00000,53.00000,55.00000
Vir.2D,La Virgen,-3.99220,38.18709,0,8.00000,8.00000,8.00000,9.00000,7.00000,41.00000,41.00000,31.00000,39.00000,38.00000
Vir.2E,La Virgen,-4.00121,38.18444,0,9.00000,9.00000,8.00000,9.00000,9.00000,32.00000,55.00000,61.00000,53.00000,55.00000
Vir.7c,La Virgen,-4.00010,38.21745,0,9.00000,9.00000,9.00000,9.00000,9.00000,46.00000,91.00000,87.00000,45.00000,41.00000
Vir.Apoyo,La Virgen,-4.01618,38.18672,0,9.00000,9.00000,8.00000,9.00000,9.00000,45.00000,44.00000,54.00000,71.00000,44.00000
Vir.Chaparral norte,La Virgen,-3.99430,38.18875,0,9.00000,9.00000,9.00000,8.00000,9.00000,47.00000,55.00000,48.00000,47.00000,55.00000
C03,CNP,-4.51285,39.38952,1,8.00000,8.00000,8.00000,8.00000,8.00000,58.00000,45.00000,50.00000,58.00000,45.00000
C06,CNP,-4.49852,39.37780,2,8.00000,8.00000,7.00000,8.00000,8.00000,70.00000,68.00000,60.00000,50.00000,68.00000
C08,CNP,-4.48627,39.37147,3,8.00000,9.00000,8.00000,8.00000,8.00000,78.00000,41.00000,69.00000,78.00000,71.00000
C13,CNP,-4.47443,39.36192,4,8.00000,6.00000,8.00000,8.00000,8.00000,69.00000,46.00000,36.00000,69.00000,63.00000
C15,CNP,-4.45353,39.36228,5,8.00000,6.00000,8.00000,8.00000,8.00000,62.00000,54.00000,58.00000,62.00000,58.00000
C16,CNP,-4.35902,39.36120,6,8.00000,8.00000,8.00000,8.00000,8.00000,55.00000,65.00000,59.00000,33.00000,65.00000
C17,CNP,-4.53002,39.35338,7,6.00000,6.00000,8.00000,9.00000,9.00000,62.00000,62.00000,52.00000,61.00000,52.00000
C19,CNP,-4.51028,39.34958,8,6.00000,6.00000,6.00000,9.00000,8.00000,45.00000,45.00000,29.00000,45.00000,54.00000
C21,CNP,-4.48275,39.35287,9,8.00000,9.00000,8.00000,8.00000,8.00000,36.00000,32.00000,72.00000,46.00000,53.00000
C23,CNP,-4.46278,39.35382,10,9.00000,8.00000,9.00000,8.00000,8.00000,57.00000,51.00000,54.00000,57.00000,51.00000
C25,CNP,-4.43448,39.35507,11,8.00000,9.00000,9.00000,8.00000,8.00000,60.00000,41.00000,69.00000,57.00000,60.00000
C27,CNP,-4.41760,39.35067,12,8.00000,9.00000,9.00000,8.00000,8.00000,38.00000,44.00000,66.00000,44.00000,38.00000
C28,CNP,-4.36503,39.34872,13,8.00000,8.00000,8.00000,8.00000,8.00000,77.00000,54.00000,49.00000,77.00000,41.00000
C30,CNP,-4.52023,39.34577,14,8.00000,9.00000,8.00000,8.00000,8.00000,48.00000,49.00000,72.00000,48.00000,43.00000
C32,CNP,-4.49622,39.34308,15,8.00000,8.00000,9.00000,8.00000,8.00000,37.00000,37.00000,64.00000,41.00000,64.00000
C34,CNP,-4.47455,39.34522,16,8.00000,8.00000,8.00000,8.00000,8.00000,36.00000,57.00000,51.00000,44.00000,57.00000
C36,CNP,-4.45093,39.34437,17,7.00000,7.00000,7.00000,7.00000,7.00000,37.00000,63.00000,65.00000,70.00000,65.00000
C38,CNP,-4.42737,39.34398,18,10.00000,7.00000,10.00000,7.00000,7.00000,68.00000,40.00000,40.00000,68.00000,40.00000
C40,CNP,-4.40265,39.34525,19,7.00000,7.00000,7.00000,7.00000,7.00000,40.00000,79.00000,76.00000,65.00000,57.00000
C42,CNP,-4.38000,39.34517,20,8.00000,8.00000,8.00000,8.00000,8.00000,56.00000,53.00000,68.00000,56.00000,53.00000
C44,CNP,-4.36232,39.34260,21,8.00000,8.00000,8.00000,8.00000,8.00000,37.00000,36.00000,45.00000,41.00000,64.00000
C45,CNP,-4.48492,39.33557,22,8.00000,8.00000,8.00000,8.00000,8.00000,67.00000,47.00000,71.00000,47.00000,35.00000
C47,CNP,-4.46048,39.33773,23,7.00000,7.00000,7.00000,7.00000,7.00000,74.00000,74.00000,68.00000,32.00000,68.00000
C49,CNP,-4.43803,39.33547,24,8.00000,8.00000,7.00000,10.00000,8.00000,54.00000,54.00000,49.00000,35.00000,54.00000
C51,CNP,-4.41208,39.33837,25,10.00000,7.00000,7.00000,7.00000,7.00000,62.00000,58.00000,76.00000,40.00000,76.00000
C53,CNP,-4.39173,39.33750,26,9.00000,9.00000,9.00000,9.00000,7.00000,71.00000,71.00000,61.00000,71.00000,58.00000
C55,CNP,-4.36862,39.33853,27,7.00000,7.00000,7.00000,8.00000,7.00000,72.00000,72.00000,72.00000,35.00000,47.00000
C57,CNP,-4.34733,39.33777,28,9.00000,9.00000,9.00000,8.00000,8.00000,66.00000,66.00000,64.00000,66.00000,64.00000
C60,CNP,-4.44865,39.32602,29,8.00000,9.00000,8.00000,8.00000,8.00000,66.00000,41.00000,64.00000,66.00000,37.00000
C62,CNP,-4.42545,39.32577,30,10.00000,10.00000,10.00000,7.00000,7.00000,62.00000,41.00000,84.00000,62.00000,84.00000
C64,CNP,-4.40347,39.32597,31,9.00000,9.00000,9.00000,7.00000,7.00000,69.00000,69.00000,55.00000,69.00000,32.00000
C66,CNP,-4.38242,39.32773,32,9.00000,9.00000,9.00000,7.00000,7.00000,58.00000,58.00000,34.00000,58.00000,77.00000
C68,CNP,-4.35713,39.32817,33,7.00000,7.00000,7.00000,7.00000,7.00000,68.00000,68.00000,59.00000,68.00000,59.00000
C71,CNP,-4.41595,39.31822,34,10.00000,9.00000,10.00000,9.00000,9.00000,50.00000,40.00000,43.00000,50.00000,45.00000
C73,CNP,-4.39402,39.31692,35,10.00000,10.00000,10.00000,9.00000,9.00000,66.00000,47.00000,53.00000,66.00000,53.00000
C79,CNP,-4.40242,39.30968,36,9.00000,12.00000,9.00000,7.00000,7.00000,43.00000,47.00000,60.00000,48.00000,60.00000
C81,CNP,-4.50362,39.32937,37,8.00000,9.00000,8.00000,8.00000,8.00000,63.00000,62.00000,62.00000,63.00000,40.00000
C82,CNP,-4.46512,39.31442,38,8.00000,8.00000,8.00000,8.00000,8.00000,58.00000,47.00000,40.00000,37.00000,61.00000
C86,CNP,-4.41865,39.36092,39,8.00000,8.00000,8.00000,8.00000,8.00000,78.00000,51.00000,75.00000,46.00000,51.00000
C87,CNP,-4.36550,39.37230,40,8.00000,9.00000,8.00000,8.00000,8.00000,50.00000,51.00000,40.00000,50.00000,34.00000
CT-1,GVNP,-7.72827,37.69438,41,8.00000,7.00000,8.00000,7.00000,7.00000,42.00000,58.00000,58.00000,41.00000,58.00000
CT-2,GVNP,-7.71450,37.68557,42,8.00000,7.00000,9.00000,9.00000,7.00000,66.00000,58.00000,76.00000,40.00000,58.00000
CT-3,GVNP,-7.69493,37.68842,43,9.00000,7.00000,9.00000,7.00000,7.00000,54.00000,63.00000,63.00000,49.00000,63.00000
CT01,GVNP,-7.81682,37.71428,44,10.00000,12.00000,12.00000,12.00000,10.00000,31.00000,36.00000,39.00000,88.00000,53.00000
CT02,GVNP,-7.80602,37.70472,45,12.00000,12.00000,12.00000,10.00000,12.00000,73.00000,73.00000,54.00000,78.00000,73.00000
CT03,GVNP,-7.81927,37.69862,46,7.00000,7.00000,7.00000,7.00000,7.00000,54.00000,54.00000,36.00000,54.00000,36.00000
CT04,GVNP,-7.80010,37.69718,47,12.00000,10.00000,12.00000,12.00000,12.00000,79.00000,47.00000,63.00000,100.00000,79.00000
CT06,GVNP,-7.75398,37.69723,48,9.00000,9.00000,9.00000,9.00000,9.00000,80.00000,80.00000,32.00000,49.00000,67.00000
CT07,GVNP,-7.81127,37.69090,49,9.00000,12.00000,12.00000,7.00000,12.00000,41.00000,37.00000,51.00000,45.00000,37.00000
CT08,GVNP,-7.78397,37.68823,50,9.00000,8.00000,7.00000,7.00000,7.00000,59.00000,42.00000,61.00000,66.00000,61.00000
CT09,GVNP,-7.76708,37.69017,51,10.00000,10.00000,12.00000,10.00000,10.00000,72.00000,44.00000,50.00000,100.00000,80.00000
CT10,GVNP,-7.73718,37.68557,52,12.00000,10.00000,9.00000,12.00000,12.00000,72.00000,39.00000,53.00000,56.00000,72.00000
CT11,GVNP,-7.79948,37.68108,53,7.00000,7.00000,7.00000,10.00000,10.00000,37.00000,45.00000,36.00000,45.00000,36.00000
CT12,GVNP,-7.77313,37.67970,54,9.00000,7.00000,9.00000,7.00000,7.00000,64.00000,45.00000,56.00000,37.00000,56.00000
CT14,GVNP,-7.72980,37.67800,55,9.00000,9.00000,9.00000,9.00000,10.00000,67.00000,67.00000,33.00000,67.00000,47.00000
CT15,GVNP,-7.70718,37.67945,56,7.00000,7.00000,7.00000,7.00000,9.00000,56.00000,56.00000,33.00000,56.00000,42.00000
CT18,GVNP,-7.78402,37.67075,57,7.00000,7.00000,7.00000,7.00000,7.00000,59.00000,59.00000,69.00000,38.00000,69.00000
CT19,GVNP,-7.76590,37.67217,58,9.00000,9.00000,8.00000,9.00000,9.00000,42.00000,63.00000,63.00000,63.00000,63.00000
CT20,GVNP,-7.73918,37.67030,59,9.00000,9.00000,9.00000,9.00000,9.00000,63.00000,36.00000,52.00000,63.00000,52.00000
CT21,GVNP,-7.71895,37.66743,60,9.00000,7.00000,9.00000,7.00000,7.00000,56.00000,58.00000,58.00000,56.00000,34.00000
CT22,GVNP,-7.69628,37.67058,61,10.00000,10.00000,10.00000,10.00000,7.00000,58.00000,58.00000,49.00000,58.00000,59.00000
CT23,GVNP,-7.77305,37.66440,62,9.00000,9.00000,9.00000,9.00000,7.00000,65.00000,65.00000,60.00000,65.00000,44.00000
CT24,GVNP,-7.75302,37.66107,63,9.00000,9.00000,9.00000,7.00000,7.00000,44.00000,44.00000,38.00000,44.00000,34.00000
CT25,GVNP,-7.72832,37.66197,64,7.00000,7.00000,7.00000,7.00000,7.00000,52.00000,52.00000,79.00000,52.00000,79.00000
