station,study.area,utm_x,utm_y,field_1,LC2012,LC2011,LC2013,LC2009,LC2010,%LC2012,%LC2011,%LC2009,%LC2013,%LC2010
M29N,MNP,-6.08319,39.82898,168,8.00000,9.00000,8.00000,9.00000,9.00000,36.00000,67.00000,67.00000,66.00000,67.00000
M30N,MNP,-6.06718,39.82715,170,9.00000,9.00000,8.00000,8.00000,9.00000,48.00000,65.00000,68.00000,36.00000,65.00000
M31N,MNP,-6.08766,39.80916,172,6.00000,7.00000,6.00000,9.00000,7.00000,58.00000,51.00000,56.00000,58.00000,51.00000
M32N,MNP,-6.09226,39.82028,174,9.00000,9.00000,9.00000,9.00000,9.00000,68.00000,68.00000,80.00000,68.00000,54.00000
M33N,MNP,-6.07327,39.82348,176,6.00000,9.00000,6.00000,9.00000,9.00000,51.00000,55.00000,63.00000,51.00000,63.00000
M34N,MNP,-6.01308,39.87060,178,7.00000,10.00000,10.00000,8.00000,10.00000,42.00000,37.00000,62.00000,67.00000,46.00000
M35N,MNP,-6.03931,39.85147,180,9.00000,10.00000,9.00000,8.00000,8.00000,63.00000,47.00000,44.00000,38.00000,44.00000
M36N,MNP,-6.00777,39.85700,182,9.00000,9.00000,9.00000,8.00000,7.00000,85.00000,85.00000,63.00000,85.00000,48.00000
M37N,MNP,-6.01414,39.85611,184,9.00000,9.00000,9.00000,7.00000,7.00000,70.00000,70.00000,60.00000,42.00000,32.00000
M40N,MNP,-6.10654,39.86920,188,8.00000,9.00000,9.00000,8.00000,9.00000,63.00000,41.00000,72.00000,46.00000,59.00000
M41N,MNP,-6.08407,39.87249,190,9.00000,9.00000,9.00000,9.00000,8.00000,57.00000,57.00000,74.00000,57.00000,53.00000
M42N,MNP,-6.06161,39.87313,192,9.00000,9.00000,9.00000,8.00000,7.00000,40.00000,46.00000,49.00000,46.00000,41.00000
M43N,MNP,-6.09533,39.86333,194,8.00000,9.00000,9.00000,9.00000,9.00000,44.00000,58.00000,60.00000,58.00000,58.00000
M44N,MNP,-6.07377,39.86389,196,9.00000,9.00000,9.00000,8.00000,8.00000,46.00000,46.00000,44.00000,39.00000,42.00000
M45N,MNP,-6.10661,39.85751,198,9.00000,9.00000,9.00000,9.00000,8.00000,44.00000,44.00000,46.00000,40.00000,75.00000
M46N,MNP,-6.08576,39.85720,199,9.00000,9.00000,9.00000,9.00000,9.00000,48.00000,45.00000,68.00000,48.00000,68.00000
M47N,MNP,-6.06132,39.85670,200,6.00000,6.00000,9.00000,9.00000,9.00000,59.00000,59.00000,52.00000,73.00000,52.00000
M48N,MNP,-6.09461,39.84651,201,8.00000,9.00000,8.00000,9.00000,9.00000,75.00000,75.00000,75.00000,37.00000,75.00000
M49N,MNP,-6.07001,39.84717,202,8.00000,8.00000,8.00000,9.00000,8.00000,57.00000,63.00000,57.00000,57.00000,63.00000
M50N,MNP,-6.10184,39.83833,204,9.00000,9.00000,9.00000,9.00000,9.00000,65.00000,65.00000,47.00000,57.00000,37.00000
M51N,MNP,-6.08191,39.83761,206,8.00000,9.00000,8.00000,8.00000,9.00000,36.00000,50.00000,50.00000,44.00000,50.00000
M53N,MNP,-6.09375,39.83057,209,8.00000,9.00000,6.00000,8.00000,8.00000,69.00000,40.00000,70.00000,42.00000,69.00000
M54N,MNP,-6.07089,39.82783,210,8.00000,8.00000,8.00000,9.00000,8.00000,58.00000,58.00000,42.00000,68.00000,58.00000
M55N,MNP,-6.05181,39.84784,211,9.00000,9.00000,9.00000,9.00000,7.00000,68.00000,68.00000,49.00000,68.00000,45.00000
M56N,MNP,-6.05008,39.86579,212,9.00000,9.00000,8.00000,9.00000,9.00000,61.00000,52.00000,52.00000,37.00000,52.00000
P29,CNP,-4.35773,39.35443,213,8.00000,8.00000,8.00000,8.00000,8.00000,68.00000,76.00000,69.00000,55.00000,76.00000
P43,CNP,-4.36983,39.34240,214,8.00000,9.00000,8.00000,8.00000,8.00000,68.00000,41.00000,71.00000,68.00000,56.00000
P54,CNP,-4.38138,39.33805,215,7.00000,7.00000,7.00000,7.00000,9.00000,66.00000,66.00000,49.00000,51.00000,67.00000
P56,CNP,-4.35747,39.33863,216,9.00000,9.00000,9.00000,9.00000,9.00000,73.00000,79.00000,79.00000,73.00000,79.00000
P58,CNP,-4.33672,39.33618,217,8.00000,8.00000,7.00000,8.00000,8.00000,64.00000,64.00000,37.00000,40.00000,64.00000
VQ1,SANP,-4.17398,38.26516,218,8.00000,9.00000,9.00000,9.00000,9.00000,53.00000,40.00000,83.00000,42.00000,83.00000
VQ10,SANP,-4.16640,38.23947,219,9.00000,7.00000,9.00000,7.00000,7.00000,54.00000,54.00000,54.00000,50.00000,54.00000
VQ11,SANP,-4.14205,38.23916,220,8.00000,8.00000,8.00000,9.00000,9.00000,61.00000,77.00000,54.00000,71.00000,54.00000
VQ12,SANP,-4.19526,38.22869,221,8.00000,8.00000,8.00000,8.00000,8.00000,79.00000,58.00000,71.00000,63.00000,71.00000
VQ13,SANP,-4.17529,38.23193,222,8.00000,7.00000,8.00000,9.00000,9.00000,56.00000,43.00000,64.00000,62.00000,64.00000
VQ14,SANP,-4.15261,38.23017,223,8.00000,8.00000,8.00000,8.00000,8.00000,60.00000,58.00000,47.00000,69.00000,55.00000
VQ15,SANP,-4.18801,38.22090,224,9.00000,8.00000,8.00000,8.00000,9.00000,34.00000,57.00000,78.00000,56.00000,38.00000
VQ16,SANP,-4.16438,38.22168,225,8.00000,8.00000,8.00000,8.00000,8.00000,62.00000,57.00000,45.00000,66.00000,60.00000
VQ17,SANP,-4.19898,38.21324,226,8.00000,8.00000,8.00000,8.00000,8.00000,80.00000,60.00000,45.00000,73.00000,51.00000
VQ18,SANP,-4.17904,38.21054,227,7.00000,7.00000,8.00000,8.00000,9.00000,50.00000,50.00000,79.00000,71.00000,50.00000
VQ19,SANP,-4.15761,38.21498,228,8.00000,8.00000,8.00000,8.00000,8.00000,59.00000,54.00000,66.00000,80.00000,54.00000
VQ2,SANP,-4.15511,38.26379,229,7.00000,9.00000,7.00000,7.00000,9.00000,63.00000,54.00000,44.00000,69.00000,46.00000
VQ20,SANP,-4.18877,38.20248,230,8.00000,8.00000,8.00000,8.00000,8.00000,75.00000,78.00000,57.00000,66.00000,57.00000
VQ3,SANP,-4.16601,38.25715,231,8.00000,8.00000,8.00000,8.00000,7.00000,54.00000,54.00000,77.00000,60.00000,46.00000
VQ4,SANP,-4.14990,38.25806,232,7.00000,7.00000,7.00000,9.00000,7.00000,54.00000,54.00000,40.00000,36.00000,44.00000
VQ5,SANP,-4.19378,38.24865,233,9.00000,9.00000,9.00000,9.00000,9.00000,55.00000,56.00000,43.00000,58.00000,56.00000
VQ6,SANP,-4.17779,38.24801,234,8.00000,8.00000,8.00000,9.00000,9.00000,49.00000,44.00000,47.00000,41.00000,47.00000
VQ7,SANP,-4.15324,38.24808,235,9.00000,9.00000,9.00000,9.00000,9.00000,59.00000,59.00000,69.00000,60.00000,69.00000
VQ8,SANP,-4.14022,38.24717,236,8.00000,7.00000,8.00000,7.00000,9.00000,39.00000,49.00000,49.00000,39.00000,37.00000
VQ9,SANP,-4.19014,38.23902,237,8.00000,9.00000,9.00000,9.00000,9.00000,43.00000,74.00000,71.00000,74.00000,71.00000
