"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff","names","mode"
"phi1",0.874853582915546,0.103352769102928,0.659924321069382,0.809270472965954,0.881254480786166,0.947067014208947,1.06110580551222,1.00109886679578,7500,"fox/wildcat",0.839186904426754
"phi2",0.740883261213426,0.107672194394603,0.522984393518839,0.66877595966264,0.745128614188483,0.816021180382602,0.941676054174048,1.00091368139945,9000,"fox/pmarten",0.841174301602253
"phi3",1.2172164076388,0.057886942844003,1.11887383499521,1.17649660728072,1.21189421987656,1.25199487458776,1.34567180932512,1.00095346816419,9000,"fox/smarten",1.16617291676443
"phi4",1.0656011817305,0.106466489728218,0.841488913465841,0.999373270934886,1.07000970318995,1.13717924921291,1.26204031576704,1.00093618150018,9000,"fox/mongoose",0.909514740082285
"phi5",1.20780258352925,0.0636166929717673,1.09512752420868,1.16321558160679,1.20356217754274,1.24686787062857,1.3431656276076,1.00085549582298,9000,"fox/genet",1.2291109961573
