"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff","names","mode"
"phi1",0.886917029993812,0.191753547577038,0.531391716002878,0.762754581043254,0.879719474503458,0.993973693153595,1.32186334153364,1.00116342274478,6000,"wildcat/pmarten",1.0946217476532
"phi2",1.32918599296654,0.145399574047934,1.04999632978131,1.23822255217038,1.32263026717847,1.41711982900776,1.62987569982409,1.00371176367562,890,"wildcat/smarten",1.27100837666667
"phi3",1.73170612498646,0.368944791382843,1.21810564178049,1.46620261840426,1.66395651275603,1.92403597457206,2.62518863686249,1.00345284485073,770,"wildcat/mongoose",1.37552372812686
"phi4",1.22259604142758,0.154411676176238,0.880915811663722,1.13658087405942,1.22277924042835,1.31347341027387,1.52709124075067,1.00169786050961,2500,"wildcat/genet",1.2209419975325
