"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff","names","mode"
"phi1",2.20895016384553,0.300297391716798,1.68985346313209,1.99390842510526,2.18548947001405,2.40758093161802,2.84224169101684,1.00092054578872,9000,"mongoose/smarten",2.28474952203352
"phi2",1.98279416003122,0.39360350407509,1.41579478591364,1.67900214779528,1.91737111469234,2.22066651288845,2.89607150741316,1.00132798642961,4000,"mongoose/genet",1.73039287546978
