"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff","names","mode"
"phi1",0.395089642288537,0.141050170185193,0.162948348533446,0.291329151343206,0.381761099038527,0.481584516939848,0.705365614994473,1.00091676436402,9000,"pmarten/smarten",0.424503639032007
"phi2",0.0315028208987626,0.069243658085694,0.000274865829228476,0.00112866101226337,0.00545565977423383,0.0276445950081812,0.238779734615743,1.00118580132704,5700,"pmarten/mongoose",0.00710107736289648
"phi3",0.760025385776544,0.219203112831171,0.384439660260792,0.603746861165217,0.744681376680747,0.894284778441988,1.24272734757988,1.00087263775037,9000,"pmarten/genet",0.964085948938131
